------------------------------
|            PIF             |
|----------------------------|
| fn           | KEYWORD     |
| sum          | IDENTIFIER  |
| (            | SEPARATOR   |
| arr          | IDENTIFIER  |
| :            | SEPARATOR   |
| [            | SEPARATOR   |
| int          | KEYWORD     |
| ;            | SEPARATOR   |
| 10           | LITERAL     |
| ]            | SEPARATOR   |
| )            | SEPARATOR   |
| ->           | SEPARATOR   |
| int          | KEYWORD     |
| {            | SEPARATOR   |
| var          | KEYWORD     |
| res          | IDENTIFIER  |
| :            | SEPARATOR   |
| int          | KEYWORD     |
| =            | OPERATOR    |
| 0            | LITERAL     |
| ;            | SEPARATOR   |
| _            | IDENTIFIER  |
| ___          | IDENTIFIER  |
| _9           | IDENTIFIER  |
| _9f_         | IDENTIFIER  |
| _9_          | IDENTIFIER  |
| for          | IDENTIFIER  |
| (            | SEPARATOR   |
| var          | KEYWORD     |
| i            | IDENTIFIER  |
| :            | SEPARATOR   |
| int          | KEYWORD     |
| =            | OPERATOR    |
| 0            | LITERAL     |
| ;            | SEPARATOR   |
| i            | IDENTIFIER  |
| <            | OPERATOR    |
| arr          | IDENTIFIER  |
| .            | OPERATOR    |
| len          | IDENTIFIER  |
| ;            | SEPARATOR   |
| +            | OPERATOR    |
| +            | OPERATOR    |
| i            | IDENTIFIER  |
| )            | SEPARATOR   |
| {            | SEPARATOR   |
| res          | IDENTIFIER  |
| +            | OPERATOR    |
| =            | OPERATOR    |
| arr          | IDENTIFIER  |
| [            | SEPARATOR   |
| i            | IDENTIFIER  |
| ]            | SEPARATOR   |
| ;            | SEPARATOR   |
| }            | SEPARATOR   |
| return       | KEYWORD     |
| res          | IDENTIFIER  |
| ;            | SEPARATOR   |
| }            | SEPARATOR   |
| fn           | KEYWORD     |
| main         | IDENTIFIER  |
| (            | SEPARATOR   |
| )            | SEPARATOR   |
| ->           | SEPARATOR   |
| int          | KEYWORD     |
| {            | SEPARATOR   |
| var          | KEYWORD     |
| arr          | IDENTIFIER  |
| :            | SEPARATOR   |
| [            | SEPARATOR   |
| int          | KEYWORD     |
| ,            | SEPARATOR   |
| 5            | LITERAL     |
| ]            | SEPARATOR   |
| =            | OPERATOR    |
| [            | SEPARATOR   |
| 5            | LITERAL     |
| ,            | SEPARATOR   |
| 4            | LITERAL     |
| ,            | SEPARATOR   |
| 3            | LITERAL     |
| ,            | SEPARATOR   |
| 2            | LITERAL     |
| ,            | SEPARATOR   |
| 1            | LITERAL     |
| ]            | SEPARATOR   |
| ;            | SEPARATOR   |
| sum          | IDENTIFIER  |
| (            | SEPARATOR   |
| arr          | IDENTIFIER  |
| )            | SEPARATOR   |
| ;            | SEPARATOR   |
| return       | KEYWORD     |
| 0            | LITERAL     |
| ;            | SEPARATOR   |
| }            | SEPARATOR   |
------------------------------
